CustomerID,Recency,Frequency,Monetary,Time,r_quartile,f_quartile,m_quartile,t_quartile,RFM_score,RFM_Total,Cluster
12346,326,1,77183.6,1,4,4,1,4,4414,13,1
12747,3,103,4196.01,9,1,1,1,2,1112,5,2
12748,1,4412,33053.19,13,1,1,1,1,1111,4,2
12749,4,199,4090.88,4,1,1,1,3,1113,6,2
12820,4,59,942.34,4,1,2,2,3,1223,8,2
12821,215,6,92.72,1,4,4,4,4,4444,16,0
12822,71,46,948.88,1,3,2,2,4,3224,11,1
12823,75,5,1759.5,4,3,4,1,3,3413,11,0
12824,60,25,397.12,1,3,3,3,4,3334,13,1
12826,3,91,1474.72,6,1,2,2,3,1223,8,2
12827,6,25,430.15,3,1,3,3,4,1334,11,1
12828,3,56,1018.71,4,1,2,2,3,1223,8,2
12829,337,11,293,2,4,4,4,4,4444,16,0
12830,38,38,6814.64,4,2,3,1,3,2313,9,1
12831,263,9,215.05,1,4,4,4,4,4444,16,0
12832,33,27,383.03,2,2,3,3,4,2334,12,1
12833,146,24,417.38,1,4,3,3,4,4334,14,0
12834,283,18,312.38,1,4,3,3,4,4334,14,0
12836,60,174,2610.36,4,3,1,1,3,3113,8,1
12837,174,12,134.1,1,4,4,4,4,4444,16,0
12838,34,120,671.95,2,2,1,2,4,2124,9,1
12839,3,314,5591.42,10,1,1,1,1,1111,4,2
12840,144,113,2726.77,4,4,1,1,3,4113,9,1
12841,5,414,3991.58,13,1,1,1,1,1111,4,2
12842,71,34,1118.99,2,3,3,2,4,3324,12,1
12843,66,103,1702.26,5,3,1,1,3,3113,8,1
12844,30,52,325.96,2,2,2,3,4,2234,11,1
12845,268,27,354.09,2,4,3,3,4,4334,14,0
12847,23,84,843.64,1,2,2,2,4,2224,10,1
12849,32,48,1010.29,2,2,2,2,4,2224,10,1
12851,97,47,131.81,1,3,2,4,4,3244,13,0
12852,295,17,311.55,1,4,4,3,4,4434,15,0
12853,135,78,1957.1,3,3,2,1,4,3214,10,1
12854,79,109,1316.25,3,3,1,2,4,3124,10,1
12855,373,3,38.1,1,4,4,4,4,4444,16,0
12856,8,311,2170.78,3,1,1,1,4,1114,7,2
12857,211,46,1106.4,2,4,2,2,4,4224,12,1
12863,53,5,521.2,1,3,4,3,4,3434,14,0
12864,139,3,147.12,1,3,4,4,4,3444,15,0
12867,27,534,4009.34,7,2,1,1,2,2112,6,2
12868,186,107,1607.06,5,4,1,1,3,4113,9,1
12871,85,11,380.64,2,3,4,3,4,3434,14,0
12872,327,66,599.97,2,4,2,3,4,4234,13,1
12873,283,4,374,1,4,4,3,4,4434,15,0
12875,144,2,343.23,2,4,4,3,4,4434,15,0
12877,4,154,1535.77,11,1,1,2,1,1121,5,2
12878,237,47,854.99,2,4,2,2,4,4224,12,1
12879,45,10,573.22,2,2,4,3,4,2434,13,0
12881,276,7,298,1,4,4,4,4,4444,16,0
12882,10,13,1463.04,1,1,4,2,4,1424,11,1
12883,25,42,703.47,2,2,2,2,4,2224,10,1
12884,89,7,309.05,1,3,4,3,4,3434,14,0
12885,64,71,1175.22,2,3,2,2,4,3224,11,1
12886,68,82,1378.4,2,3,2,2,4,3224,11,1
12888,215,5,354.12,2,4,4,3,4,4434,15,0
12890,25,79,376.72,1,2,2,3,4,2234,11,1
12891,186,3,331,3,4,4,3,4,4434,15,0
12893,31,31,176.55,1,2,3,4,4,2344,13,1
12895,43,22,372.8,2,2,3,3,4,2334,12,1
12897,205,4,216.5,2,4,4,4,4,4444,16,0
12901,9,116,17654.54,10,1,1,1,1,1111,4,2
12902,265,10,138.68,1,4,4,4,4,4444,16,0
12904,19,71,496.06,2,2,2,3,4,2234,11,1
12906,12,63,2919.81,2,1,2,1,4,1214,8,2
12908,177,2,750,2,4,4,2,4,4424,14,0
12909,40,91,2178.67,4,2,2,1,3,2213,8,1
12910,24,75,3075.04,6,2,2,1,3,2213,8,2
12912,3,24,1662.3,3,1,3,1,4,1314,9,2
12913,5,50,2483.63,5,1,2,1,3,1213,7,2
12915,149,22,363.65,2,4,3,3,4,4334,14,0
12916,139,103,2944.95,4,3,1,1,3,3113,8,1
12917,129,2,594,1,3,4,3,4,3434,14,0
12919,9,50,1335.19,5,1,2,2,3,1223,8,2
12920,18,27,162.78,1,1,3,4,4,1344,12,1
12921,10,720,16587.09,11,1,1,1,1,1111,4,2
12922,162,28,405.38,1,4,3,3,4,4334,14,0
12923,65,28,172.82,1,3,3,4,4,3344,14,0
12924,89,30,933.7,4,3,3,2,3,3323,11,1
12925,5,45,694.05,2,1,2,2,4,1224,9,2
12928,36,84,2062.7,5,2,2,1,3,2213,8,1
12929,312,8,117.85,1,4,4,4,4,4444,16,0
12930,79,25,415.8,2,3,3,3,4,3334,13,1
12931,22,82,42055.96,8,2,2,1,2,2212,7,2
12933,25,106,607.53,3,2,1,3,4,2134,10,1
12935,3,129,2160.7,6,1,1,1,3,1113,6,2
12936,18,62,1063.9,2,1,2,2,4,1224,9,1
12937,16,120,1504.27,4,1,1,2,3,1123,7,2
12938,26,9,114.14,1,2,4,4,4,2444,14,0
12939,65,47,11581.8,6,3,2,1,3,3213,9,1
12940,55,96,899.69,2,3,2,2,4,3224,11,1
12942,132,70,675.6,3,3,2,2,4,3224,11,1
12944,36,30,604.51,2,2,3,3,4,2334,12,1
12945,289,23,462.95,1,4,3,3,4,4334,14,0
12947,144,97,1603.99,5,4,2,1,3,4213,10,1
12948,17,116,2064.95,5,1,1,1,3,1113,6,2
12949,31,215,4167.22,4,2,1,1,3,2113,7,2
12950,3,23,1843,2,1,3,1,4,1314,9,2
12951,9,63,1064.07,5,1,2,2,3,1223,8,2
12952,6,79,1387.79,3,1,2,2,4,1224,9,2
12953,10,17,329.85,1,1,4,3,4,1434,12,1
12955,2,180,4757.16,8,1,1,1,2,1112,5,2
12956,307,19,108.07,1,4,3,4,4,4344,15,0
12957,10,238,4017.54,6,1,1,1,3,1113,6,2
12962,8,16,266.39,2,1,4,4,4,1444,13,1
12963,9,95,1856.63,5,1,2,1,3,1213,7,2
12965,90,108,769.81,1,3,1,2,4,3124,10,1
12966,10,10,160.18,1,1,4,4,4,1444,13,0
12967,359,19,1660.9,1,4,3,1,4,4314,12,0
12968,113,5,135.95,1,3,4,4,4,3444,15,0
12970,8,129,405.47,2,1,1,3,4,1134,9,2
12971,4,305,11189.91,13,1,1,1,1,1111,4,2
12974,198,8,144.8,1,4,4,4,4,4444,16,0
12976,212,22,738.6,1,4,3,2,4,4324,13,0
12977,157,9,39.24,1,4,4,4,4,4444,16,0
12980,158,20,7374.9,7,4,3,1,2,4312,10,1
12981,30,20,372.22,2,2,3,3,4,2334,12,1
12982,243,28,390.54,1,4,3,3,4,4334,14,0
12984,19,4,97.5,1,2,4,4,4,2444,14,0
