CustomerID,Apr-11,Aug-11,Dec-10,Dec-11,Feb-11,Jan-11,Jul-11,Jun-11,Mar-11,May-11,Nov-11,Oct-11,Sep-11
12346,0,0,0,0,0,77183.6,0,0,0,0,0,0,0
12747,0,301.7,706.27,438.5,0,303.04,0,376.3,310.78,771.31,312.73,675.38,0
12748,1065.57,896.16,4185,999,381.59,417.12,1081.45,1923.62,1165.37,2223.17,10453.69,2199.3,6062.15
12749,0,1896.13,0,763.06,0,0,0,0,0,859.1,572.59,0,0
12820,0,0,0,210.35,0,170.46,0,0,0,0,0,343.76,217.77
12821,0,0,0,0,0,0,0,0,0,92.72,0,0,0
12822,0,0,0,0,0,0,0,0,0,0,0,0,948.88
12823,0,229.5,0,0,535.5,0,0,0,459,0,0,0,535.5
12824,0,0,0,0,0,0,0,0,0,0,0,397.12,0
12826,0,0,155,142.6,0,542.1,0,121.52,0,0,279.5,0,234
12827,0,0,0,111.45,0,0,0,0,0,0,100.95,217.75,0
12828,0,338.2,0,357.4,0,0,0,0,0,0,0,245.8,77.31
12829,0,0,85.75,0,0,207.25,0,0,0,0,0,0,0
12830,0,0,0,0,0,0,2982.16,2221.84,0,0,400.32,0,1210.32
12831,0,0,0,0,0,0,0,0,215.05,0,0,0,0
12832,0,0,0,0,0,0,0,0,0,0,115.23,0,267.8
12833,0,0,0,0,0,0,417.38,0,0,0,0,0,0
12834,0,0,0,0,0,0,0,0,312.38,0,0,0,0
12836,0,0,0,0,846.69,0,451.13,0,0,814.71,0,497.83,0
12837,0,0,0,0,0,0,0,134.1,0,0,0,0,0
12838,0,0,390.79,0,0,0,0,0,0,0,281.16,0,0
12839,0,330.44,737.45,752.39,351.56,0,653,304.48,0,306.88,1075.18,387.8,692.24
12840,854.07,0,0,0,0,0,576,572.8,0,723.9,0,0,0
12841,160.67,273.77,505.99,151.01,389.19,497.89,416.68,199.73,269.9,116.09,289.44,505.35,215.87
12842,0,0,0,0,310.73,0,0,0,0,0,0,0,808.26
12843,0,0,0,0,0,0,294.3,770.95,93.4,533.66,0,9.95,0
12844,0,174.88,0,0,0,0,0,0,0,0,151.08,0,0
12845,0,0,0,0,65.09,0,0,0,289,0,0,0,0
12847,0,0,0,0,0,0,0,0,0,0,843.64,0,0
12849,0,0,0,0,0,0,0,0,668.85,0,341.44,0,0
12851,0,0,0,0,0,0,0,0,0,0,0,0,131.81
12852,0,0,0,0,311.55,0,0,0,0,0,0,0,0
12853,457.6,0,0,0,0,427.4,1072.1,0,0,0,0,0,0
12854,420.47,0,0,0,0,389.9,0,0,0,0,0,0,505.88
12855,0,0,38.1,0,0,0,0,0,0,0,0,0,0
12856,0,0,0,213.1,0,0,0,0,0,0,610.56,1347.12,0
12857,0,0,0,0,801.6,0,0,0,0,304.8,0,0,0
12863,0,0,0,0,0,0,0,0,0,0,0,521.2,0
12864,0,0,0,0,0,0,147.12,0,0,0,0,0,0
12867,0,0,362.79,0,424.16,0,0,613.91,491.19,451.25,993.38,0,672.66
12868,0,0,203.3,0,0,469.91,0,248.06,248.27,437.52,0,0,0
12871,0,0,0,0,0,0,0,0,0,132,0,0,248.64
12872,0,0,378.53,0,0,221.44,0,0,0,0,0,0,0
12873,0,0,0,0,0,0,0,0,374,0,0,0,0
12875,0,0,293.76,0,0,0,49.47,0,0,0,0,0,0
12877,87.1,100.4,150.06,99.66,79.2,100.2,0,276.79,83.16,182.32,275.74,0,101.14
12878,539.81,0,0,0,0,0,0,0,315.18,0,0,0,0
12879,0,0,0,0,0,0,0,0,0,0,0,65.52,507.7
12881,0,0,0,0,0,0,0,0,298,0,0,0,0
12882,0,0,0,0,0,0,0,0,0,0,1463.04,0,0
12883,0,0,0,0,0,0,0,0,0,0,411.84,0,291.63
12884,0,0,0,0,0,0,0,0,0,0,0,0,309.05
12885,0,645.35,0,0,0,0,0,0,0,0,0,529.87,0
12886,0,0,0,0,0,0,0,0,0,775,0,603.4,0
12888,0,0,0,0,0,0,0,0,272.76,81.36,0,0,0
12890,0,0,0,0,0,0,0,0,0,0,376.72,0,0
12891,0,0,0,0,42,0,0,85,0,204,0,0,0
12893,0,0,0,0,0,0,0,0,0,0,176.55,0,0
12895,0,0,0,0,0,0,0,0,0,0,0,105,267.8
12897,0,0,0,0,128.8,0,0,0,0,87.7,0,0,0
12901,1447.56,780,0,780,0,0,1301.03,1772.88,3190.92,3147.08,1956.31,1758.96,1519.8
12902,0,0,0,0,0,0,0,0,138.68,0,0,0,0
12904,0,0,0,0,0,0,0,244.69,0,0,251.37,0,0
12906,0,0,0,0,0,0,0,0,0,0,983.22,0,1936.59
12908,0,0,0,0,0,318,0,432,0,0,0,0,0
12909,0,0,0,0,0,0,0,0,903.45,624.92,0,321.32,328.98
12910,720.22,0,0,0,0,0,344.4,0,0,422.28,458.46,566.4,563.28
12912,0,0,0,804.24,0,0,0,0,0,0,540,318.06,0
12913,0,0,417.62,535.1,313.8,0,0,0,134.97,0,1082.14,0,0
12915,0,0,199.65,0,0,0,164,0,0,0,0,0,0
12916,0,0,0,0,0,807.05,693.37,0,649.78,794.75,0,0,0
12917,0,594,0,0,0,0,0,0,0,0,0,0,0
12919,0,182.65,0,287.9,0,0,52.8,206.2,0,0,605.64,0,0
12920,0,0,0,0,0,0,0,0,0,0,162.78,0,0
12921,0,660.45,687.8,0,2003.88,481.7,2192.78,556.88,1063.87,1277.19,3863.04,1328.07,2471.43
12922,0,0,0,0,0,0,405.38,0,0,0,0,0,0
12923,0,0,0,0,0,0,0,0,0,0,0,172.82,0
12924,0,0,0,0,0,58.19,0,0,229.8,367.28,0,0,278.43
12925,0,0,0,325.74,0,0,0,0,0,0,0,0,368.31
12928,387.7,0,392.34,0,0,0,356.1,0,0,0,592.56,334,0
12929,0,0,0,0,117.85,0,0,0,0,0,0,0,0
12930,0,0,0,0,0,0,0,221.56,0,0,0,0,194.24
12931,1488,28610,177,0,1696.4,0,0,0,62.5,496.8,7615.9,1909.36,0
12933,0,0,0,0,0,0,0,246.74,110.75,0,250.04,0,0
12935,0,316.02,0,343.78,0,431.63,353.09,0,0,434.6,281.58,0,0
12936,0,0,0,0,0,0,0,0,0,0,265.44,0,798.46
12937,0,0,0,0,0,0,0,0,217.43,210.8,677.83,0,398.21
12938,0,0,0,0,0,0,0,0,0,0,114.14,0,0
12939,0,0,0,0,3376.08,1933.2,761.76,0,1919.04,0,0,2545.68,1046.04
12940,0,0,0,0,0,0,0,0,0,0,0,538.42,361.27
12942,0,0,258.75,0,0,0,279.08,0,0,137.77,0,0,0
12944,0,0,286.95,0,0,0,0,0,0,0,317.56,0,0
12945,0,0,0,0,462.95,0,0,0,0,0,0,0,0
12947,429.57,0,304.04,0,0,301.66,224.3,344.42,0,0,0,0,0
12948,0,537.7,0,0,0,0,0,0,528.96,357.3,209.94,431.05,0
12949,1534.3,1198.72,0,0,0,0,0,0,0,716.4,717.8,0,0
12950,0,0,0,1531.4,0,0,0,0,0,0,311.6,0,0
12951,155.19,0,0,312.29,0,306.09,0,126.9,0,163.6,0,0,0
12952,0,0,0,297.73,0,0,0,0,0,0,0,358.52,731.54
12953,0,0,0,0,0,0,0,0,0,0,329.85,0,0
12955,0,0,0,807.22,0,0,355.54,293.96,473.82,223.6,1836.82,269.76,496.44
12956,0,0,0,0,108.07,0,0,0,0,0,0,0,0
12957,0,0,0,0,0,413.68,0,586.52,330.51,384.58,1376.82,0,925.43
12962,0,170.54,0,95.85,0,0,0,0,0,0,0,0,0
12963,0,0,365.8,264.65,0,0,0,0,0,0,867.05,105.22,253.91
12965,0,0,0,0,0,0,0,0,0,0,0,0,769.81
12966,0,0,0,0,0,0,0,0,0,0,160.18,0,0
12967,0,0,1660.9,0,0,0,0,0,0,0,0,0,0
12968,0,135.95,0,0,0,0,0,0,0,0,0,0,0
12970,0,0,0,381.67,0,23.8,0,0,0,0,0,0,0
